alphaRaw16-1,alphaRaw16-2,alphaRaw16-3,alphaRaw16-4,alphaRaw24-1,alphaRaw24-2,alphaRaw24-3,alphaRaw24-4,alphaGrad-1,alphaGrad-2,alphaGrad-3,alphaGrad-4,grad-x,grad-y,grad-z,grad-xz,grad-yz,grad-rx,grad-ry,grad-rz,gradsum-xy,gradsum-xz,gradsum-yz,gradratio-xy,gradratio-xz,gradratio-yz,gradstddev-x,gradstddev-y,gradstddev-z,xpeaks,ypeaks,avg,stddev,moment-2,moment-3,moment-4,class
0.09075,0,0,0.90925,0.021355,0,0,0.978645,1,0,0,0,0.050452,0.040714,0.016078,0.027512,0.019747,0.007684,0.005357,-0.000022,0.091166,0.066531,0.056792,1.239184,3.137883,2.532217,254.051983,122.203128,0.015545,2,4,0.979722,0.631522,1.358665,2.342854,4.711522,a2c
0.567907,0.156209,0.275884,0,0.47028,0.183967,0.345753,0,0,1,0,0,0.061517,0.056041,0.018638,0.045091,0.041712,-0.001398,-0.002283,0.000031,0.117558,0.080155,0.07468,1.097701,3.300511,3.006749,454.464522,245.168197,0.019624,3,3,0.885753,0.681398,1.248854,2.370996,5.441738,a2c
0.258479,0.443765,0.297756,0,0.211222,0.454492,0.334286,0,0.432128,0.567872,0,0,0.057346,0.042778,0.017079,0.027217,0.026122,-0.002095,-0.002442,-0.000002,0.100124,0.074425,0.059858,1.340536,3.357638,2.504698,125.230189,141.953874,0.016536,3,4,0.953229,0.787813,1.529286,3.240505,7.896226,a2c
0,0.574017,0,0.425983,0,0.520257,0,0.479743,0.274574,0.461205,0.102914,0.161307,0.05359,0.050855,0.020668,0.055401,0.049703,-0.007745,-0.004376,0.000041,0.104445,0.074259,0.071523,1.053784,2.59288,2.460543,299.517769,168.297782,0.027544,4,4,0.777676,0.944479,1.496806,4.507482,17.408073,a2c
0.153823,0.495841,0,0.350336,0.138968,0.434494,0,0.426539,1,0,0,0,0.049542,0.0379,0.012823,0.032092,0.024031,-0.004272,-0.000248,-0.000008,0.087442,0.062366,0.050723,1.307187,3.863503,2.955585,329.211401,212.850236,0.016257,49,4,0.683714,0.696837,0.953039,1.762826,3.949635,a2c
0,0.312447,0.687553,0,0,0.560508,0.439492,0,0,0.993961,0.006039,0,0.062944,0.0609,0.019953,0.03175,0.035842,0.000588,0.005742,-0.000001,0.123843,0.082896,0.080852,1.033564,3.154642,3.052198,133.831982,181.586313,0.019647,5,3,1.20569,0.696331,1.938558,3.977577,10.023099,a2c
0,0,0,1,0,0,0,1,0.331095,0,0.313075,0.35583,0.036044,0.034968,0.012999,0.026419,0.023493,-0.001097,0.005363,-0.00001,0.071012,0.049044,0.047967,1.030786,2.772791,2.689979,85.04325,109.892424,0.016104,9,2,0.663933,0.702763,0.934675,1.712159,3.649977,a2c
0,1,0,0,0,1,0,0,0,1,0,0,0.059951,0.052618,0.016254,0.030139,0.031525,-0.006123,0.00079,-0.000161,0.112569,0.076206,0.068872,1.139372,3.688365,3.237192,228.958818,253.358783,0.016299,2,3,1.262121,0.526246,1.86988,3.087657,5.538633,a2c
0.20255,0.239812,0,0.557638,0.179189,0.337574,0,0.483237,1,0,0,0,0.05321,0.042764,0.019658,0.044598,0.03715,-0.001606,0.003474,-0.000008,0.095974,0.072868,0.062422,1.244268,2.706849,2.175455,268.159775,169.021216,0.023487,2,5,1.002731,0.767979,1.595253,3.339605,8.414921,a2c
0.26621,0.018084,0.52486,0.190846,0.26151,0,0.448974,0.289517,0.394239,0.603066,0.002695,0,0.055656,0.048261,0.017149,0.035961,0.031851,0.005943,0.001428,-0.000041,0.103917,0.072805,0.065411,1.153223,3.24534,2.814148,94.461752,108.162897,0.016426,2,3,1.137614,0.716016,1.806832,3.68622,8.881613,a2c
